lab_x,lab_z,strain_xx,strain_yy,strain_xy,strain_error_xx,strain_error_yy,strain_error_xy
19.771156,7.7713837,9.929636881523885e-05,-9.783328896832005e-05,0.00010547805186895578,0.0001895338487572002,0.0002075637057679531,0.00018751968145270989
19.771156,9.1798137,0.0005323058335412131,-0.0003049409392255135,0.00026024759202068385,5.611173253422037e-05,6.144949421035206e-05,5.55154357894447e-05
19.771156,10.588498,-0.0009297591537474045,-0.0011081663471105136,0.0001817419154085585,0.0009365088169123033,0.001025596439894824,0.0009265565817313256
17.707355,-30.261559,0.00030237234177957667,0.0007605152206992853,0.0004596548599787452,0.0005917736914041971,0.0006480675677176663,0.000585484940194776
17.707355,-28.852875,0.000611904137272226,-0.00011209103432555098,0.0005874655008596798,0.0002834637206453806,0.00031042887955773645,0.0002804513650073118
17.707355,-27.444191,0.001465151842594173,-0.0006195393476926341,-6.966310896756758e-05,0.0004689271128644277,0.0005135349169474308,0.0004639438464680008
17.707355,-26.035507,0.001070578522894036,0.0005931092918816517,-0.0005645504340802641,0.00037696001696759467,0.0004128192328781923,0.00037295408058247824
17.707355,-24.627077,0.0007253269970183244,-2.8088256146177442e-05,-4.2015272456431416e-05,0.00016625854047254963,0.00018207427856491832,0.00016449171877567825
17.707355,-23.218393,0.0006912791425523479,0.0006367313998842187,-1.1650775756607217e-05,0.00036706238203738375,0.0004019800619437577,0.00036316162735195383
17.707355,-21.809709,0.0007193830943839281,0.0003893970285291575,-0.00011668572930282466,0.0002701367729317743,0.0002958341743273956,0.00026726604214092806
17.707355,-20.401025,0.0007676756204722703,-0.00030145874695371275,0.00023497182095417188,0.00011307839101648097,0.00012383524122807935,0.00011187671226898697
17.707355,-18.992595,0.0008326658329557644,0.0002620252530702648,-1.2465057399478184e-05,0.00017910212169071696,0.0001961396359172333,0.00017719881186035942
17.707355,-17.583911,0.0005986243936519939,0.00016424241229313062,0.00012414083127804064,0.0002579071885545867,0.0002824412217223831,0.00025516642098173984
17.707355,-16.175228,0.00041465780960784254,0.0005713273260281876,-0.00029277294914392546,0.00023170773006659368,0.0002537494775903543,0.00022924538290769358
17.707355,-14.766544,-0.00017546972505501357,0.0001079540043285667,8.25035988398645e-05,0.00010930787529142975,0.0001197060462493744,0.00010814626563726956
