lab_x,lab_z,dial_x,dial_z
9.452153,-6.314948,22.726076,22.685052
9.452153,-4.906264,22.726076,24.093736
9.452153,-3.497580,22.726076,25.502420
9.452153,-2.089150,22.726076,26.910850
9.452153,-0.680466,22.726076,28.319534
9.452153,0.728218,22.726076,29.728218
9.452153,2.136902,22.726076,31.136902
9.452153,3.545332,22.726076,32.545332
9.452153,4.954016,22.726076,33.954016
9.452153,6.362700,22.726076,35.362700
9.452153,7.771384,22.726076,36.771384
9.452153,9.179814,22.726076,38.179814
9.452153,10.588498,22.726076,39.588498
7.388352,-30.261559,21.694176,-1.261559
7.388352,-28.852875,21.694176,0.147125
7.388352,-27.444191,21.694176,1.555809
7.388352,-26.035507,21.694176,2.964493
7.388352,-24.627077,21.694176,4.372923
7.388352,-23.218393,21.694176,5.781607
7.388352,-21.809709,21.694176,7.190291
7.388352,-20.401025,21.694176,8.598975
7.388352,-18.992595,21.694176,10.007405
7.388352,-17.583911,21.694176,11.416089
7.388352,-16.175228,21.694176,12.824772
7.388352,-14.766544,21.694176,14.233456
7.388352,-13.358114,21.694176,15.641886
7.388352,-11.949430,21.694176,17.050570
7.388352,-10.540746,21.694176,18.459254
7.388352,-9.132062,21.694176,19.867938
7.388352,-7.723632,21.694176,21.276368
7.388352,-6.314948,21.694176,22.685052
7.388352,-4.906264,21.694176,24.093736
7.388352,-3.497580,21.694176,25.502420
7.388352,-2.089150,21.694176,26.910850
7.388352,-0.680466,21.694176,28.319534
7.388352,0.728218,21.694176,29.728218
7.388352,2.136902,21.694176,31.136902
7.388352,3.545332,21.694176,32.545332
7.388352,4.954016,21.694176,33.954016
7.388352,6.362700,21.694176,35.362700
7.388352,7.771384,21.694176,36.771384
7.388352,9.179814,21.694176,38.179814
7.388352,10.588498,21.694176,39.588498
5.324551,-30.261559,20.662275,-1.261559
5.324551,-28.852875,20.662275,0.147125
5.324551,-27.444191,20.662275,1.555809
5.324551,-26.035507,20.662275,2.964493
5.324551,-24.627077,20.662275,4.372923
5.324551,-23.218393,20.662275,5.781607
5.324551,-21.809709,20.662275,7.190291
5.324551,-20.401025,20.662275,8.598975
5.324551,-18.992595,20.662275,10.007405
5.324551,-17.583911,20.662275,11.416089
5.324551,-16.175228,20.662275,12.824772
5.324551,-14.766544,20.662275,14.233456
5.324551,-13.358114,20.662275,15.641886
5.324551,-11.949430,20.662275,17.050570
5.324551,-10.540746,20.662275,18.459254
5.324551,-9.132062,20.662275,19.867938
5.324551,-7.723632,20.662275,21.276368
5.324551,-6.314948,20.662275,22.685052
5.324551,-4.906264,20.662275,24.093736
5.324551,-3.497580,20.662275,25.502420
5.324551,-2.089150,20.662275,26.910850
5.324551,-0.680466,20.662275,28.319534
5.324551,0.728218,20.662275,29.728218
5.324551,2.136902,20.662275,31.136902
5.324551,3.545332,20.662275,32.545332
5.324551,4.954016,20.662275,33.954016
5.324551,6.362700,20.662275,35.362700
5.324551,7.771384,20.662275,36.771384
5.324551,9.179814,20.662275,38.179814
5.324551,10.588498,20.662275,39.588498
3.260750,-30.261559,19.630375,-1.261559
3.260750,-28.852875,19.630375,0.147125
3.260750,-27.444191,19.630375,1.555809
3.260750,-26.035507,19.630375,2.964493
3.260750,-24.627077,19.630375,4.372923
3.260750,-23.218393,19.630375,5.781607
3.260750,-21.809709,19.630375,7.190291
3.260750,-20.401025,19.630375,8.598975
3.260750,-18.992595,19.630375,10.007405
3.260750,-17.583911,19.630375,11.416089
3.260750,-16.175228,19.630375,12.824772
3.260750,-14.766544,19.630375,14.233456
3.260750,-13.358114,19.630375,15.641886
3.260750,-11.949430,19.630375,17.050570
3.260750,-10.540746,19.630375,18.459254
3.260750,-9.132062,19.630375,19.867938
3.260750,-7.723632,19.630375,21.276368
3.260750,-6.314948,19.630375,22.685052
3.260750,-4.906264,19.630375,24.093736
